"nom_station"	"code_station"	"polluant"	"niveau"	"date"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-01T20:15:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-01T20:30:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-01T20:45:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-01T21:00:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-01T21:15:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-01T21:30:00"
"Victor Hugo"	140	"PM2.5"	18	"2018-11-01T21:45:00"
"Victor Hugo"	140	"PM2.5"	17	"2018-11-01T22:00:00"
"Victor Hugo"	140	"PM2.5"	17	"2018-11-01T22:15:00"
"Victor Hugo"	140	"PM2.5"	16	"2018-11-01T22:30:00"
"Victor Hugo"	140	"PM2.5"	16	"2018-11-01T22:45:00"
"Victor Hugo"	140	"PM2.5"	17	"2018-11-01T23:00:00"
"Victor Hugo"	140	"PM2.5"	18	"2018-11-01T23:15:00"
"Victor Hugo"	140	"PM2.5"	20	"2018-11-01T23:30:00"
"Victor Hugo"	140	"PM2.5"	22	"2018-11-01T23:45:00"
"Victor Hugo"	140	"PM2.5"	24	"2018-11-02T00:00:00"
"Victor Hugo"	140	"PM2.5"	25	"2018-11-02T00:15:00"
"Victor Hugo"	140	"PM2.5"	23	"2018-11-02T00:30:00"
"Victor Hugo"	140	"PM2.5"	21	"2018-11-02T00:45:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-02T01:00:00"
"Victor Hugo"	140	"PM2.5"	16	"2018-11-02T01:15:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-02T01:30:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-02T01:45:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-02T02:00:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-02T02:15:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-02T02:30:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-02T02:45:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-02T03:00:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-02T03:15:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-02T03:30:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-02T03:45:00"
"Victor Hugo"	140	"PM2.5"	10	"2018-11-02T04:00:00"
"Victor Hugo"	140	"PM2.5"	10	"2018-11-02T04:15:00"
"Victor Hugo"	140	"PM2.5"	10	"2018-11-02T04:30:00"
"Victor Hugo"	140	"PM2.5"	9	"2018-11-02T04:45:00"
"Victor Hugo"	140	"PM2.5"	9	"2018-11-02T05:00:00"
"Victor Hugo"	140	"PM2.5"	10	"2018-11-02T05:15:00"
"Victor Hugo"	140	"PM2.5"	10	"2018-11-02T05:30:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-02T05:45:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-02T06:00:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-02T06:15:00"
"Victor Hugo"	140	"PM2.5"	10	"2018-11-02T06:30:00"
"Victor Hugo"	140	"PM2.5"	10	"2018-11-02T06:45:00"
"Victor Hugo"	140	"PM2.5"	10	"2018-11-02T07:00:00"
"Victor Hugo"	140	"PM2.5"	10	"2018-11-02T07:15:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-02T07:30:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-02T07:45:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-02T08:00:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-02T08:15:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-02T08:30:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-02T08:45:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-02T09:00:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-02T09:15:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-02T09:30:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-02T09:45:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-02T10:00:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-02T10:15:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-02T10:30:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-02T10:45:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-02T11:00:00"
"Victor Hugo"	140	"PM2.5"	9	"2018-11-02T11:15:00"
"Victor Hugo"	140	"PM2.5"	8	"2018-11-02T11:30:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-02T11:45:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-02T12:00:00"
"Victor Hugo"	140	"PM2.5"	8	"2018-11-02T12:15:00"
"Victor Hugo"	140	"PM2.5"	8	"2018-11-02T12:30:00"
"Victor Hugo"	140	"PM2.5"	8	"2018-11-02T12:45:00"
"Victor Hugo"	140	"PM2.5"	8	"2018-11-02T13:00:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-02T13:15:00"
"Victor Hugo"	140	"PM2.5"	5	"2018-11-02T13:30:00"
"Victor Hugo"	140	"PM2.5"	4	"2018-11-02T13:45:00"
"Victor Hugo"	140	"PM2.5"	3	"2018-11-02T14:00:00"
"Victor Hugo"	140	"PM2.5"	2	"2018-11-02T14:15:00"
"Victor Hugo"	140	"PM2.5"	2	"2018-11-02T14:30:00"
"Victor Hugo"	140	"PM2.5"	3	"2018-11-02T14:45:00"
"Victor Hugo"	140	"PM2.5"	3	"2018-11-02T15:00:00"
"Victor Hugo"	140	"PM2.5"	3	"2018-11-02T15:15:00"
"Victor Hugo"	140	"PM2.5"	3	"2018-11-02T15:30:00"
"Victor Hugo"	140	"PM2.5"	4	"2018-11-02T15:45:00"
"Victor Hugo"	140	"PM2.5"	4	"2018-11-02T16:00:00"
"Victor Hugo"	140	"PM2.5"	4	"2018-11-02T16:15:00"
"Victor Hugo"	140	"PM2.5"	5	"2018-11-02T16:30:00"
"Victor Hugo"	140	"PM2.5"	6	"2018-11-02T16:45:00"
"Victor Hugo"	140	"PM2.5"	6	"2018-11-02T17:00:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-02T17:15:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-02T17:30:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-02T17:45:00"
"Victor Hugo"	140	"PM2.5"	7	"2018-11-02T18:00:00"
"Victor Hugo"	140	"PM2.5"	8	"2018-11-02T18:15:00"
"Victor Hugo"	140	"PM2.5"	9	"2018-11-02T18:30:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-02T18:45:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-02T19:00:00"
"Victor Hugo"	140	"PM2.5"	15	"2018-11-02T19:15:00"
"Victor Hugo"	140	"PM2.5"	17	"2018-11-02T19:30:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-02T19:45:00"
"Victor Hugo"	140	"PM2.5"	20	"2018-11-02T20:00:00"
"Victor Hugo"	140	"PM2.5"	21	"2018-11-02T20:15:00"
"Victor Hugo"	140	"PM2.5"	22	"2018-11-02T20:30:00"
"Victor Hugo"	140	"PM2.5"	23	"2018-11-02T20:45:00"
"Victor Hugo"	140	"PM2.5"	26	"2018-11-02T21:00:00"
"Victor Hugo"	140	"PM2.5"	28	"2018-11-02T21:15:00"
"Victor Hugo"	140	"PM2.5"	30	"2018-11-02T21:30:00"
"Victor Hugo"	140	"PM2.5"	32	"2018-11-02T21:45:00"
"Victor Hugo"	140	"PM2.5"	32	"2018-11-02T22:00:00"
"Victor Hugo"	140	"PM2.5"	32	"2018-11-02T22:15:00"
"Victor Hugo"	140	"PM2.5"	32	"2018-11-02T22:30:00"
"Victor Hugo"	140	"PM2.5"	32	"2018-11-02T22:45:00"
"Victor Hugo"	140	"PM2.5"	33	"2018-11-02T23:00:00"
"Victor Hugo"	140	"PM2.5"	34	"2018-11-02T23:15:00"
"Victor Hugo"	140	"PM2.5"	34	"2018-11-02T23:30:00"
"Victor Hugo"	140	"PM2.5"	35	"2018-11-02T23:45:00"
"Victor Hugo"	140	"PM2.5"	37	"2018-11-03T00:00:00"
"Victor Hugo"	140	"PM2.5"	38	"2018-11-03T00:15:00"
"Victor Hugo"	140	"PM2.5"	40	"2018-11-03T00:30:00"
"Victor Hugo"	140	"PM2.5"	41	"2018-11-03T00:45:00"
"Victor Hugo"	140	"PM2.5"	41	"2018-11-03T01:00:00"
"Victor Hugo"	140	"PM2.5"	41	"2018-11-03T01:15:00"
"Victor Hugo"	140	"PM2.5"	42	"2018-11-03T01:30:00"
"Victor Hugo"	140	"PM2.5"	42	"2018-11-03T01:45:00"
"Victor Hugo"	140	"PM2.5"	44	"2018-11-03T02:00:00"
"Victor Hugo"	140	"PM2.5"	44	"2018-11-03T02:15:00"
"Victor Hugo"	140	"PM2.5"	45	"2018-11-03T02:30:00"
"Victor Hugo"	140	"PM2.5"	46	"2018-11-03T02:45:00"
"Victor Hugo"	140	"PM2.5"	45	"2018-11-03T03:00:00"
"Victor Hugo"	140	"PM2.5"	44	"2018-11-03T03:15:00"
"Victor Hugo"	140	"PM2.5"	42	"2018-11-03T03:30:00"
"Victor Hugo"	140	"PM2.5"	40	"2018-11-03T03:45:00"
"Victor Hugo"	140	"PM2.5"	39	"2018-11-03T04:00:00"
"Victor Hugo"	140	"PM2.5"	37	"2018-11-03T04:15:00"
"Victor Hugo"	140	"PM2.5"	36	"2018-11-03T04:30:00"
"Victor Hugo"	140	"PM2.5"	35	"2018-11-03T04:45:00"
"Victor Hugo"	140	"PM2.5"	34	"2018-11-03T05:00:00"
"Victor Hugo"	140	"PM2.5"	35	"2018-11-03T05:15:00"
"Victor Hugo"	140	"PM2.5"	36	"2018-11-03T05:30:00"
"Victor Hugo"	140	"PM2.5"	36	"2018-11-03T05:45:00"
"Victor Hugo"	140	"PM2.5"	37	"2018-11-03T06:00:00"
"Victor Hugo"	140	"PM2.5"	37	"2018-11-03T06:15:00"
"Victor Hugo"	140	"PM2.5"	36	"2018-11-03T06:30:00"
"Victor Hugo"	140	"PM2.5"	34	"2018-11-03T06:45:00"
"Victor Hugo"	140	"PM2.5"	31	"2018-11-03T07:00:00"
"Victor Hugo"	140	"PM2.5"	28	"2018-11-03T07:15:00"
"Victor Hugo"	140	"PM2.5"	26	"2018-11-03T07:30:00"
"Victor Hugo"	140	"PM2.5"	25	"2018-11-03T07:45:00"
"Victor Hugo"	140	"PM2.5"	24	"2018-11-03T08:00:00"
"Victor Hugo"	140	"PM2.5"	24	"2018-11-03T08:15:00"
"Victor Hugo"	140	"PM2.5"	24	"2018-11-03T08:30:00"
"Victor Hugo"	140	"PM2.5"	24	"2018-11-03T08:45:00"
"Victor Hugo"	140	"PM2.5"	25	"2018-11-03T09:00:00"
"Victor Hugo"	140	"PM2.5"	25	"2018-11-03T09:15:00"
"Victor Hugo"	140	"PM2.5"	24	"2018-11-03T09:30:00"
"Victor Hugo"	140	"PM2.5"	24	"2018-11-03T09:45:00"
"Victor Hugo"	140	"PM2.5"	23	"2018-11-03T10:00:00"
"Victor Hugo"	140	"PM2.5"	22	"2018-11-03T10:15:00"
"Victor Hugo"	140	"PM2.5"	22	"2018-11-03T10:30:00"
"Victor Hugo"	140	"PM2.5"	21	"2018-11-03T10:45:00"
"Victor Hugo"	140	"PM2.5"	20	"2018-11-03T11:00:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-03T11:15:00"
"Victor Hugo"	140	"PM2.5"	18	"2018-11-03T11:30:00"
"Victor Hugo"	140	"PM2.5"	17	"2018-11-03T11:45:00"
"Victor Hugo"	140	"PM2.5"	17	"2018-11-03T12:00:00"
"Victor Hugo"	140	"PM2.5"	17	"2018-11-03T12:15:00"
"Victor Hugo"	140	"PM2.5"	17	"2018-11-03T12:30:00"
"Victor Hugo"	140	"PM2.5"	16	"2018-11-03T12:45:00"
"Victor Hugo"	140	"PM2.5"	15	"2018-11-03T13:00:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-03T13:15:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-03T13:30:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-03T13:45:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-03T14:00:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-03T14:15:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-03T14:30:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-03T14:45:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-03T15:00:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-03T15:15:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-03T15:30:00"
"Victor Hugo"	140	"PM2.5"	10	"2018-11-03T15:45:00"
"Victor Hugo"	140	"PM2.5"	10	"2018-11-03T16:00:00"
"Victor Hugo"	140	"PM2.5"	11	"2018-11-03T16:15:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-03T16:30:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-03T16:45:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-03T17:00:00"
"Victor Hugo"	140	"PM2.5"	15	"2018-11-03T17:15:00"
"Victor Hugo"	140	"PM2.5"	15	"2018-11-03T17:30:00"
"Victor Hugo"	140	"PM2.5"	16	"2018-11-03T17:45:00"
"Victor Hugo"	140	"PM2.5"	16	"2018-11-03T18:00:00"
"Victor Hugo"	140	"PM2.5"	17	"2018-11-03T18:15:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-03T18:30:00"
"Victor Hugo"	140	"PM2.5"	23	"2018-11-03T18:45:00"
"Victor Hugo"	140	"PM2.5"	27	"2018-11-03T19:00:00"
"Victor Hugo"	140	"PM2.5"	33	"2018-11-03T19:15:00"
"Victor Hugo"	140	"PM2.5"	37	"2018-11-03T19:30:00"
"Victor Hugo"	140	"PM2.5"	41	"2018-11-03T19:45:00"
"Victor Hugo"	140	"PM2.5"	44	"2018-11-03T20:00:00"
"Victor Hugo"	140	"PM2.5"	45	"2018-11-03T20:15:00"
"Victor Hugo"	140	"PM2.5"	46	"2018-11-03T20:30:00"
"Victor Hugo"	140	"PM2.5"	47	"2018-11-03T20:45:00"
"Victor Hugo"	140	"PM2.5"	47	"2018-11-03T21:00:00"
"Victor Hugo"	140	"PM2.5"	47	"2018-11-03T21:15:00"
"Victor Hugo"	140	"PM2.5"	48	"2018-11-03T21:30:00"
"Victor Hugo"	140	"PM2.5"	49	"2018-11-03T21:45:00"
"Victor Hugo"	140	"PM2.5"	50	"2018-11-03T22:00:00"
"Victor Hugo"	140	"PM2.5"	51	"2018-11-03T22:15:00"
"Victor Hugo"	140	"PM2.5"	50	"2018-11-03T22:30:00"
"Victor Hugo"	140	"PM2.5"	48	"2018-11-03T22:45:00"
"Victor Hugo"	140	"PM2.5"	44	"2018-11-03T23:00:00"
"Victor Hugo"	140	"PM2.5"	40	"2018-11-03T23:15:00"
"Victor Hugo"	140	"PM2.5"	37	"2018-11-03T23:30:00"
"Victor Hugo"	140	"PM2.5"	35	"2018-11-03T23:45:00"
"Victor Hugo"	140	"PM2.5"	34	"2018-11-04T00:00:00"
"Victor Hugo"	140	"PM2.5"	35	"2018-11-04T00:15:00"
"Victor Hugo"	140	"PM2.5"	34	"2018-11-04T00:30:00"
"Victor Hugo"	140	"PM2.5"	33	"2018-11-04T00:45:00"
"Victor Hugo"	140	"PM2.5"	32	"2018-11-04T01:00:00"
"Victor Hugo"	140	"PM2.5"	32	"2018-11-04T01:15:00"
"Victor Hugo"	140	"PM2.5"	32	"2018-11-04T01:30:00"
"Victor Hugo"	140	"PM2.5"	33	"2018-11-04T01:45:00"
"Victor Hugo"	140	"PM2.5"	34	"2018-11-04T02:00:00"
"Victor Hugo"	140	"PM2.5"	34	"2018-11-04T02:15:00"
"Victor Hugo"	140	"PM2.5"	33	"2018-11-04T02:30:00"
"Victor Hugo"	140	"PM2.5"	32	"2018-11-04T02:45:00"
"Victor Hugo"	140	"PM2.5"	31	"2018-11-04T03:00:00"
"Victor Hugo"	140	"PM2.5"	30	"2018-11-04T03:15:00"
"Victor Hugo"	140	"PM2.5"	30	"2018-11-04T03:30:00"
"Victor Hugo"	140	"PM2.5"	30	"2018-11-04T03:45:00"
"Victor Hugo"	140	"PM2.5"	31	"2018-11-04T04:00:00"
"Victor Hugo"	140	"PM2.5"	31	"2018-11-04T04:15:00"
"Victor Hugo"	140	"PM2.5"	31	"2018-11-04T04:30:00"
"Victor Hugo"	140	"PM2.5"	31	"2018-11-04T04:45:00"
"Victor Hugo"	140	"PM2.5"	30	"2018-11-04T05:00:00"
"Victor Hugo"	140	"PM2.5"	29	"2018-11-04T05:15:00"
"Victor Hugo"	140	"PM2.5"	28	"2018-11-04T05:30:00"
"Victor Hugo"	140	"PM2.5"	28	"2018-11-04T05:45:00"
"Victor Hugo"	140	"PM2.5"	28	"2018-11-04T06:00:00"
"Victor Hugo"	140	"PM2.5"	28	"2018-11-04T06:15:00"
"Victor Hugo"	140	"PM2.5"	27	"2018-11-04T06:30:00"
"Victor Hugo"	140	"PM2.5"	26	"2018-11-04T06:45:00"
"Victor Hugo"	140	"PM2.5"	25	"2018-11-04T07:00:00"
"Victor Hugo"	140	"PM2.5"	24	"2018-11-04T07:15:00"
"Victor Hugo"	140	"PM2.5"	23	"2018-11-04T07:30:00"
"Victor Hugo"	140	"PM2.5"	22	"2018-11-04T07:45:00"
"Victor Hugo"	140	"PM2.5"	22	"2018-11-04T08:00:00"
"Victor Hugo"	140	"PM2.5"	22	"2018-11-04T08:15:00"
"Victor Hugo"	140	"PM2.5"	21	"2018-11-04T08:30:00"
"Victor Hugo"	140	"PM2.5"	21	"2018-11-04T08:45:00"
"Victor Hugo"	140	"PM2.5"	20	"2018-11-04T09:00:00"
"Victor Hugo"	140	"PM2.5"	20	"2018-11-04T09:15:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T09:30:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T09:45:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T10:00:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T10:15:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T10:30:00"
"Victor Hugo"	140	"PM2.5"	18	"2018-11-04T10:45:00"
"Victor Hugo"	140	"PM2.5"	17	"2018-11-04T11:00:00"
"Victor Hugo"	140	"PM2.5"	16	"2018-11-04T11:15:00"
"Victor Hugo"	140	"PM2.5"	15	"2018-11-04T11:30:00"
"Victor Hugo"	140	"PM2.5"	15	"2018-11-04T11:45:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-04T12:00:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-04T12:15:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-04T12:30:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-04T12:45:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-04T13:00:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-04T13:15:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-04T13:30:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-04T13:45:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-04T14:00:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-04T14:15:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-04T14:30:00"
"Victor Hugo"	140	"PM2.5"	12	"2018-11-04T14:45:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-04T15:00:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-04T15:15:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-04T15:30:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-04T15:45:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-04T16:00:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-04T16:15:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-04T16:30:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-04T16:45:00"
"Victor Hugo"	140	"PM2.5"	13	"2018-11-04T17:00:00"
"Victor Hugo"	140	"PM2.5"	14	"2018-11-04T17:15:00"
"Victor Hugo"	140	"PM2.5"	15	"2018-11-04T17:30:00"
"Victor Hugo"	140	"PM2.5"	16	"2018-11-04T17:45:00"
"Victor Hugo"	140	"PM2.5"	17	"2018-11-04T18:00:00"
"Victor Hugo"	140	"PM2.5"	18	"2018-11-04T18:15:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T18:30:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T18:45:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T19:00:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T19:15:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T19:30:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T19:45:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T20:00:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T20:15:00"
"Victor Hugo"	140	"PM2.5"	18	"2018-11-04T20:30:00"
"Victor Hugo"	140	"PM2.5"	19	"2018-11-04T20:45:00"
